2B713,Silver,Kea,K64SAT,2015,Trailer,2019-04-20,Waikato
2B837,Silver,Trailer,ROAD CHIEF,2015,Trailer,2019-08-18,Canterbury
2C532,Silver,Trailer,PRESCOTT,2015,Trailer,2019-09-28,Waikato
2C930,Silver,Trailer,ROADLINE,2015,Trailer,2019-05-04,Auckland City
2D860,Grey,Trailer,HOMEBUILT,2015,Trailer,2019-04-15,Canterbury
2D974,Silver,Kea,KC126,2015,Trailer,2019-09-25,Counties/Manukau
2E430,Silver,Pinto,BRAKED TANDEM,2015,Trailer,2019-04-11,Counties/Manukau
2E955,Silver,Trailer,HELMACK 8X5,2015,Trailer,2019-09-14,Canterbury
2F158,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-06-19,Bay of Plenty
2F524,White,Homebuilt,HOMEBUILT,1974,Caravan,2019-05-12,Canterbury
2F866,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-06-04,Wellington
2H360,Silver,Trailer,ELITE 6X4,2015,Trailer,2019-04-15,Auckland City
2H555,Green,Tapper,HOME MADE,2015,Trailer,2019-08-01,Waitemata
2J371,Silver,Trailer,PRESCOTT,2015,Trailer,2019-09-21,Bay of Plenty
2J754,Black,Trailer,DOMESTIC TRAILER,2002,Trailer,2019-06-19,Central
2K187,Black,Homebuilt,DOMESTIC TRAILER,2015,Trailer,2019-08-04,Central
2K738,Grey,Trailer,HOMEBUILT,2015,Trailer,2019-05-16,Central
2K813,Grey,Trailer,BOAT,2015,Boat Trailer,2019-04-18,Waitemata
2L556,Silver,Trailer,TRADESMAN 8X5,2015,Trailer,2019-04-23,Waikato
2L834,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-08-20,Canterbury
2N140,Silver,Trailer,BUNNINGS 3X7,2010,Trailer,2019-04-05,Waitemata
2N406,Silver,Trailer,VALUE CARS 8X5 TANDE,2015,Trailer,2019-07-25,Canterbury
2P501,Black,Trailer,HOMEBUILT,2015,Trailer,2019-05-30,Central
2P517,Silver,Oleary,8X4.7,2015,Trailer,2019-04-26,Central
2P775,Blue,Trailer,DAYTECH,2015,Trailer,2019-04-08,Wellington
2P916,Silver,Trailer,NTC,2015,Trailer,2019-05-02,Northland
2R299,Silver,Homebuilt,FLAT DECK,2015,Trailer,2019-05-20,Canterbury
2R462,White,Trailer,TANDEM FURNITURE,2015,Trailer - Heavy,2019-05-13,Canterbury
2R533,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-07-25,Eastern
2R544,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-24,Counties/Manukau
2S429,Silver,Trailer,PRESCOTT,2015,Trailer - Heavy,2019-04-23,Bay of Plenty
2U849,Black,Trailer,BRIFORD,1998,Trailer,2019-09-26,Waitemata
2U852,White,Trailer,FLAT-DECK TRAILER,2015,Trailer,2019-07-23,Waitemata
2U878,Silver,Trailer,TRAILPRO TRADESMAN,2015,Trailer,2019-08-20,Waikato
2W605,Grey,Trailer,TANDEM,2015,Trailer,2019-07-02,Waikato
2W956,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-27,Canterbury
2W975,Silver,Trailer,ELITE 7X4,2015,Trailer,2019-06-06,Auckland City
2Y940,Silver,Trailer,JETSKI,2015,Boat Trailer,2019-05-20,Auckland City
3002K,Silver,Kea,K64EN,1995,Trailer,2019-07-18,Northland
30D85,Silver,Trailer,GT DIGGER TRAILER,2019,Trailer - Heavy,2019-08-21,Counties/Manukau
30E41,Silver,Trailer,COMPASS-KHG74CHDST,2019,Trailer,2019-04-09,Waitemata
30G19,Silver,Trailer,DOMESTIC,2019,Trailer,2019-08-05,Auckland City
30S61,Silver,Trailer,BSTB85,2019,Boat Trailer,2019-05-08,Waitemata
3109Y,Silver,Homebuilt,DOMESTIC TRAILER,2001,Trailer,2019-09-24,Auckland City
3126Y,Silver,Pinto,KINGSIDER,2001,Trailer,2019-04-20,Northland
31N17,Grey,Trailer,KERRICK,2019,Trailer - Heavy,2019-06-26,Auckland City
31P98,Silver,Trailer,D-MAX DIGGER 2.5T,2019,Trailer - Heavy,2019-09-01,Counties/Manukau
31WEN,Blue,Landini,GHIBLI 90,2003,Tractor,2019-08-30,Central
3237F,Black,Trailer,BOAT,1975,Boat Trailer,2019-09-16,Bay of Plenty
32B32,Silver,Trailer,FOXENG 650,2019,Trailer,2019-06-07,Central
32H46,Silver,Trailer,M J SINGLE AXLE,2019,Trailer,2019-09-12,Southern
32K82,Grey,Trailer,BOAT,2019,Boat Trailer,2019-06-15,Counties/Manukau
32QWA,Grey,Homebuilt,TRAILER,1988,Trailer,2019-05-13,Waikato
3351Y,Silver,Trailer,SPORTLINE,2001,Boat Trailer,2019-09-12,Wellington
33A27,Silver,Trailer,DOMESTIC TRAILER,2019,Trailer,2019-05-21,Wellington
33A72,Silver,Trailer,WARRIOR,2014,Trailer,2019-05-27,Counties/Manukau
33G74,Grey,Trailer,DOMESTIC,2018,Trailer,2019-05-12,Waitemata
33H90,Silver,Trailer,TRAYLA,2019,Trailer,2019-05-27,Wellington
33Q34,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,2019-09-02,Counties/Manukau
33R38,Silver,Trailer,HOMEMADE,2009,Trailer,2019-07-09,Counties/Manukau
34E63,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,2019-09-04,Central
34HBE,Blue,Campomatic,,1979,Caravan,2019-08-14,Northland
34TNI,Red,Kawasaki,ER,1997,Roadbike,2019-07-21,Wellington
34Y48,Silver,Trailer,E.J ENG,2019,Trailer,2019-08-19,Central
34Z96,Silver,Trailer,PRO COMMERCIAL,2019,Trailer - Heavy,2019-08-09,Waitemata
34ZHB,Black,Suzuki,VL800,2008,Roadbike,2019-08-07,Wellington
35A59,Silver,Trailer,MAKZ GEAR BUNK,2017,Boat Trailer,2019-09-02,Counties/Manukau
35ATU,Blue,Trailer,HOMEMADE,1974,Trailer,2019-09-17,Central
35C63,Black,Homebuilt,CAR TRAILER,2019,Trailer,2019-05-29,Central
35J56,Grey,Trailer,DOMESTIC,2010,Trailer,2019-08-08,Bay of Plenty
35J70,Silver,Trailer,TUFF,2019,Trailer,2019-08-22,Waikato
35M82,Black,Homebuilt,DOMESTIC TRAILER,2019,Trailer,2019-07-28,Central
35YLA,Black,Yamaha,SCOOTER,2006,Moped,2019-06-07,Wellington
369QD,White,Anglo,,1970,Caravan,2019-05-18,Tasman
36B64,Silver,Trailer,HOMEBUILT,2019,Trailer - Heavy,2019-09-16,Bay of Plenty
36H24,Silver,Trailer,THERMALAY,2019,Trailer,2019-09-09,Northland
36M80,Black,Trailer,HOMEBUILT,1989,Trailer,2019-07-06,Tasman
36T41,Silver,Trailer,VOYAGER,2013,Boat Trailer,2019-08-16,Counties/Manukau
36ZJW,Red,Triumph,CROSSLAND,2008,All Terrain Vehicle,2019-06-29,Central
37P32,Black,Trailer,CAR TRAILER,2019,Trailer,2019-08-12,Counties/Manukau
3822W,Grey,Homebuilt,BOAT TRAILER,1984,Trailer,2019-07-11,Waitemata
3884I,Blue,Trailer,HOMEBUILT,1996,Trailer - Heavy,2019-05-22,Central
38EEF,Green,Classic,13,1977,Caravan,2019-05-20,Canterbury
38R28,Silver,Trailer,DIAMOND,2019,Trailer,2019-08-20,Central
38T73,Silver,Trailer,TANKER,2019,Trailer,2019-08-30,Northland
38Z10,Silver,Factory Built,CONCEPT TRAILERS,2019,Trailer,2019-09-03,Waikato
39G67,Silver,Caravan,OLYMPIC MARAPNON,2019,Caravan,2019-08-12,Waitemata
39USD,Blue,Suzuki,DR250R,2003,Roadbike,2019-08-06,Canterbury
39ZJP,Green,Suzuki,FXR150,1999,Roadbike,2019-04-01,Canterbury
3A476,Black,Trailer,HUNTER BUILT,2015,Trailer,2019-05-10,Southern
3A663,Black,Homebuilt,,1987,Trailer,2019-09-14,Canterbury
3B797,Silver,King Long,TRAILER,2015,Trailer,2019-07-01,Waikato
3C639,Black,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-06-11,Wellington
3D867,Silver,Pinto,DIY WELLSIDE,2015,Trailer,2019-04-15,Waitemata
3E186,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-07-31,Bay of Plenty
3E974,Silver,Trailer,FOSMAIN,2015,Trailer,2019-05-15,Waikato
3F697,Silver,Factory Built,HOSKING,1998,Boat Trailer,2019-05-20,Northland
3F731,Silver,Trailer,COMPASS CT95,2015,Trailer,2019-08-19,Northland
3G395,Silver,Trailer,AES WATERBLASTER,2015,Trailer - Heavy,2019-07-18,Waitemata
3GUX,Grey,Trailer,LOCAL,1979,Trailer,2019-06-14,Bay of Plenty
3H705,Blue,Homebuilt,WOODSPLITTER,2016,Trailer,2019-08-19,Central
3K777,Silver,Trailer,8X5,2015,Trailer,2019-08-12,Central
3N234,Silver,Titan,9X5 TANDEM,2015,Trailer,2019-04-03,Auckland City
3N630,White,Reid,TRAILER,2015,Trailer - Heavy,2019-04-25,Auckland City
3P477,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-05-18,Waitemata
3Q364,Silver,Trailer,TRAILERWORLD 6X4 H/S,2015,Trailer,2019-05-27,Counties/Manukau
3R796,Black,Trailer,TRANSPORTER,2016,Trailer,2019-09-17,Bay of Plenty
3S479,Grey,Trailer,HOSKING,2016,Boat Trailer,2019-04-14,Waitemata
3T555,Orange,Trailer,WANGO,2016,Trailer,2019-06-11,Bay of Plenty
3U171,Grey,Trailer,GEMINI,2005,Boat Trailer,2019-05-01,Canterbury
3U609,Silver,Briford,TRAILER 8X4,2016,Trailer,2019-08-19,Waikato
3U867,Grey,Trailer,HOMEBUILT,2016,Trailer,2019-04-28,Bay of Plenty
3W602,Silver,Trailer,PRESCOTT,2016,Trailer,2019-07-01,Bay of Plenty
3W784,Silver,Pinto,BRAKED TANDEM,2016,Trailer,2019-09-04,Auckland City
3Z299,Silver,Trailer,COMPASS D105N,2016,Trailer,2019-07-01,Eastern
40J64,Silver,Trailer,VULCAN,2019,Trailer,2019-08-06,Counties/Manukau
40K51,Silver,Trailer,GT TRAILER,2019,Trailer,2019-08-07,Central
40M49,Silver,Trailer,DOMESTIC TRAILER,2016,Trailer,2019-08-12,Counties/Manukau
40NZE,Blue,Homebuilt,MISC,1986,Trailer,2019-08-30,Canterbury
40YMM,Red,Moped,CHOPPER,2006,Moped,2019-04-26,Central
4159A,Grey,Voyager,OTHER COMMERCIAL TRA,1995,Trailer - Heavy,2019-09-06,Waikato
41N15,Silver,Pinto,CAR TRANSPORTER,2019,Trailer,2019-08-08,Counties/Manukau
41S38,Silver,Trailer,VULCAN,2016,Trailer,2019-08-07,Waitemata
41UHT,Blue,Honda,VTR,2000,Roadbike,2019-05-29,Eastern
4231U,Black,Trailer,LOCAL,2001,Trailer,2019-09-09,Central
4303W,Silver,Trailer,GARDENMASTER K846,2001,Trailer,2019-05-29,Bay of Plenty
4402K,Grey,Trailer,LOCAL,1998,Trailer,2019-07-30,Auckland City
4478G,Silver,Trailer,HOMEMADE,1997,Trailer,2019-08-02,Counties/Manukau
44YYF,Red,Hyosung,SF,2007,Roadbike,2019-08-28,Eastern
45KXS,Grey,Cresta-Craft,CAPRICORN,1983,Boat Trailer,2019-04-09,Auckland City
4606J,Blue,Briford,6X4,1998,Trailer,2019-05-26,Tasman
4627L,Silver,Trailer,DOMESTIC TRAILER,1999,Trailer,2019-05-27,Waikato
46ACH,Purple,Alpha,,1973,Caravan,2019-09-26,Eastern
46WHD,Red,Suzuki,SJ50 QT,2004,Moped,2019-06-27,Bay of Plenty
4715F,Silver,Kea,KT1020,1997,Trailer,2019-09-18,Central
4798T,Grey,Trailer,DOMESTIC,2000,Trailer,2019-06-05,Northland
47TUX,Black,Suzuki,GSF600S,1998,Roadbike,2019-05-29,Eastern
4816N,Green,Homebuilt,TRAILER,1989,Boat Trailer,2019-05-01,Central
48WCK,Black,Harley Davidson,SOFTAIL,2003,Roadbike,2019-07-21,Canterbury
48ZHZ,White,Suzuki,VL800,2008,Roadbike,2019-09-22,Bay of Plenty
48ZSF,Black,Suzuki,GN250,1988,Roadbike,2019-08-27,Wellington
491QN,Brown,Classic,,1971,Caravan,2019-05-27,Canterbury
4C253,Silver,Trailer,SKIPPY BIN,2016,Trailer,2019-08-22,Waitemata
4D719,Silver,Trailer,DOMESTIC,2016,Trailer,2019-04-30,Wellington
4E175,Silver,Briford,TRAILER,2016,Trailer,2019-09-18,Southern
4F161,Silver,Trailer,TRADETESTED,2016,Trailer,2019-06-11,Northland
4F495,Silver,Factory Built,BAYLINER CERIA,2016,Boat Trailer,2019-05-14,Eastern
4G161,Silver,Trailer,MAC'S,2009,Trailer,2019-07-09,Central
4H493,Silver,Reid,TRAILER,2016,Trailer - Heavy,2019-08-20,Waitemata
4J542,Silver,Trailer,DOMESTIC SINGLE AXLE,2016,Trailer,2019-05-16,Auckland City
4J749,Silver,Trailer,HOMEMADE,1985,Trailer,2019-07-17,Eastern
4J854,Silver,Factory Built,BRENT SMITH TRAILERS,2016,Trailer,2019-09-07,Waikato
4K610,Grey,Trailer,DOMESTIC TRAILER,2016,Trailer,2019-07-08,Counties/Manukau
4K938,Silver,Trailer,BRIFORD,2006,Trailer,2019-05-14,Southern
4L313,Silver,Trailer,PRESCOTT,2016,Trailer,2019-08-30,Auckland City
4N236,Silver,Trailer,TUI,2016,Trailer,2019-08-08,Bay of Plenty
4Q428,Silver,Reid,TRAILER,2016,Trailer - Heavy,2019-05-29,Counties/Manukau
4R122,Silver,Trailer,STANZA FLAT DECK,2016,Trailer,2019-08-03,Central
4R332,Silver,Trailer,TRAYLA,2016,Trailer,2019-09-09,Central
4R905,Silver,Briford,TRAILER,2016,Trailer - Heavy,2019-09-09,Counties/Manukau
4R906,Silver,Briford,TRAILER,2016,Trailer - Heavy,2019-04-03,Counties/Manukau
4S631,Silver,Trailer,GOODS A,2016,Trailer,2019-08-08,Auckland City
4U365,Silver,Trailer,8 X 4,2016,Trailer,2019-08-02,Waikato
4WAK,Black,Aprilia,MOJITO 50C,2006,Moped,2019-06-10,Waitemata
4WERK,Black,Nissan,SAFARI,1992,Stationwagon,2019-08-12,Counties/Manukau
4Z547,Silver,Trailer,DMW,2016,Boat Trailer,2019-09-13,Tasman
5039U,Silver,Voyager,A16,2001,Boat Trailer,2019-04-19,Northland
50ZHE,Black,Honda,CB,2008,Roadbike,2019-07-04,Auckland City
50ZHG,Blue,Moped,ZX50,2008,Moped,2019-04-16,Canterbury
5178Z,Grey,Trailer,GARDEN,2002,Trailer,2019-08-24,Bay of Plenty
524M,Black,Trailer,DOMESTIC TRAILER,1999,Trailer,2019-09-02,Waikato
52ZKH,Pink,Moped,VMOTO MILAN,2008,Moped,2019-05-24,Counties/Manukau
53YHU,Black,Suzuki,GN250,2006,Roadbike,2019-08-25,Auckland City
5404K,Silver,Trailer,ABEL,1998,Trailer,2019-04-11,Northland
5552R,Silver,Kea,K64SE,2000,Trailer,2019-07-17,Waikato
5650G,Black,Trailer,DOMESTIC TRAILER,1996,Trailer,2019-04-22,Wellington
56LWW,Cream,Caravan,,1983,Caravan,2019-08-17,Central
58LMK,Silver,Suzuki,Kaitana,1983,,2019-08-27,Wellington
59ZZJ,Blue,Husaberg,FE,2009,Roadbike,2019-09-24,Central
5A239,Grey,Trailer,CAR TRAILER,2016,Trailer,2019-05-11,Waitemata
5A400,Green,Trailer,FLAT-DECK TRAILER,2016,Trailer,2019-05-06,Canterbury
5A873,Silver,Trailer,ASD JET SKI,2016,Boat Trailer,2019-09-11,Waikato
5B189,Silver,Trailer,COMPASS KHG63,2016,Trailer,2019-09-27,Counties/Manukau
5B429,Silver,Trailer,FOXENG 2000,2016,Trailer,2019-07-29,Central
5B801,White,Trailer,MZ KUPAVA,2016,Trailer - Heavy,2019-08-25,Waikato
5C192,Silver,Briford,TRAILER,2016,Caravan,2019-05-08,Waitemata
5C263,Silver,Trailer,CHOOKS,2016,Trailer,2019-04-18,Central
5C401,Black,Homebuilt,TRAILER,2016,Trailer,2019-09-03,Canterbury
